Kudos Date,Kudos Type,Parent ID
"Jun 24, 2020, 1:30:48 PM",Activity,3663840308
"Jun 24, 2020, 1:30:51 PM",Activity,3663400750
"Jun 24, 2020, 7:26:03 PM",Activity,3664661672
"Jun 25, 2020, 1:45:35 AM",Activity,3665256945
"Jun 25, 2020, 1:45:40 AM",Activity,3666916718
"Jun 25, 2020, 1:45:41 AM",Activity,3667001480
"Jun 25, 2020, 1:45:43 AM",Activity,3666842769
"Jun 25, 2020, 2:12:28 AM",Activity,3667114664
"Jun 25, 2020, 3:03:14 AM",Activity,3667197941
"Jun 25, 2020, 3:03:18 AM",Activity,3667116652
"Jun 25, 2020, 5:53:01 PM",Activity,3656277620
"Jun 25, 2020, 6:03:26 PM",Activity,3668953681
"Jun 26, 2020, 11:44:37 PM",Activity,3675797178
"Jun 26, 2020, 11:44:50 PM",Activity,3675404835
"Jun 26, 2020, 11:44:57 PM",Activity,3675826487
"Jun 26, 2020, 11:45:00 PM",Activity,3675274504
"Jun 27, 2020, 10:57:43 PM",Activity,3679755669
"Jun 27, 2020, 10:58:09 PM",Activity,3678161938
"Jun 28, 2020, 8:31:39 PM",Activity,3685668222
"Jun 30, 2020, 4:52:43 PM",Activity,3693024880
"Jul 1, 2020, 12:30:47 AM",Activity,3694395742
"Jul 1, 2020, 12:30:55 AM",Activity,3693608667
"Jul 1, 2020, 4:09:22 AM",Activity,3695685937
"Jul 1, 2020, 4:09:27 AM",Activity,3695513183
"Jul 1, 2020, 3:56:14 PM",Activity,3697367165
"Jul 2, 2020, 3:38:09 PM",Activity,3702921594
"Jul 2, 2020, 3:38:22 PM",Activity,3702779533
"Jul 2, 2020, 3:38:30 PM",Activity,3702091680
"Jul 2, 2020, 3:38:32 PM",Activity,3702533476
"Jul 2, 2020, 3:38:34 PM",Activity,3700549814
"Jul 3, 2020, 3:06:36 AM",Activity,3705360273
"Jul 3, 2020, 3:06:43 AM",Activity,3705403614
"Jul 3, 2020, 3:06:47 AM",Activity,3705260189
"Jul 4, 2020, 1:43:59 AM",Activity,3709513910
"Jul 4, 2020, 1:44:01 AM",Activity,3709314593
"Jul 4, 2020, 1:44:09 AM",Activity,3708686736
"Jul 4, 2020, 1:55:11 AM",Activity,3709619748
"Jul 4, 2020, 12:38:18 PM",Activity,3711578294
"Jul 4, 2020, 4:55:56 PM",Activity,3713041289
"Jul 4, 2020, 4:56:21 PM",Activity,3711784015
"Jul 4, 2020, 4:56:28 PM",Activity,3712059943
"Jul 5, 2020, 2:33:57 AM",Activity,3714481290
"Jul 5, 2020, 2:43:18 AM",Activity,3714598971
"Jul 5, 2020, 7:42:09 PM",Activity,3719006223
"Jul 5, 2020, 7:42:10 PM",Activity,3718953562
"Jul 5, 2020, 10:37:44 PM",Activity,3719704109
"Jul 5, 2020, 10:37:45 PM",Activity,3719704091
"Jul 6, 2020, 1:38:47 AM",Activity,3720071526
"Jul 6, 2020, 1:39:27 AM",Activity,3718403007
"Jul 6, 2020, 2:17:56 AM",Activity,3720091641
"Jul 6, 2020, 3:43:04 PM",Activity,3720238294
"Jul 6, 2020, 5:13:56 PM",Activity,3721784565
"Jul 7, 2020, 3:48:27 AM",Activity,3724470284
"Jul 7, 2020, 3:48:31 AM",Activity,3724058806
"Jul 7, 2020, 3:48:33 AM",Activity,3724058727
"Jul 7, 2020, 3:48:36 AM",Activity,3724058612
"Jul 7, 2020, 3:48:41 AM",Activity,3723494860
"Jul 7, 2020, 3:49:58 AM",Activity,3723909737
"Jul 8, 2020, 5:10:17 AM",Activity,3727524903
"Jul 9, 2020, 1:21:27 AM",Activity,3734262567
"Jul 9, 2020, 1:21:58 AM",Activity,3734212794
"Jul 9, 2020, 1:22:39 AM",Activity,3734262792
"Jul 9, 2020, 1:22:45 AM",Activity,3734343548
"Jul 9, 2020, 12:06:00 PM",Activity,3735661696
"Jul 9, 2020, 5:29:51 PM",Activity,3736970020
"Jul 9, 2020, 10:13:29 PM",Activity,3738539192
"Jul 10, 2020, 1:08:04 AM",Activity,3739060147
"Jul 10, 2020, 12:03:55 PM",Activity,3740616496
"Jul 10, 2020, 2:16:09 PM",Activity,3740617002
"Jul 10, 2020, 4:57:15 PM",Activity,3741627606
"Jul 11, 2020, 12:41:33 AM",Activity,3742817020
"Jul 11, 2020, 1:07:16 AM",Activity,3743418128
"Jul 11, 2020, 1:07:33 AM",Activity,3743366067
"Jul 11, 2020, 4:48:48 PM",Activity,3746580217
"Jul 11, 2020, 4:48:48 PM",Activity,3746582753
"Jul 11, 2020, 4:48:50 PM",Activity,3745920016
"Jul 12, 2020, 12:46:16 AM",Activity,3748326572
"Jul 12, 2020, 6:53:00 PM",Activity,3750976826
"Jul 12, 2020, 6:53:02 PM",Activity,3751136914
"Jul 12, 2020, 6:55:14 PM",Activity,3752316126
"Jul 12, 2020, 7:07:20 PM",Activity,3753029395
"Jul 12, 2020, 8:53:26 PM",Activity,3753365602
"Jul 13, 2020, 2:16:01 PM",Activity,3756026168
"Jul 13, 2020, 6:24:36 PM",Activity,3757052906
"Jul 13, 2020, 6:24:53 PM",Activity,3755970323
"Jul 13, 2020, 6:25:01 PM",Activity,3755905594
"Jul 13, 2020, 6:25:13 PM",Activity,3753850434
"Jul 14, 2020, 10:44:24 PM",Activity,3762757006
"Jul 15, 2020, 1:52:56 AM",Activity,3763958466
"Jul 15, 2020, 1:52:57 AM",Activity,3763947938
"Jul 15, 2020, 2:23:05 AM",Activity,3763806546
"Jul 15, 2020, 4:41:08 PM",Activity,3766721277
"Jul 15, 2020, 4:41:44 PM",Activity,3766695626
"Jul 16, 2020, 2:41:22 AM",Activity,3768834627
"Jul 16, 2020, 2:41:29 AM",Activity,3768553358
"Jul 16, 2020, 9:04:50 PM",Activity,3772732161
"Jul 17, 2020, 12:03:13 AM",Activity,3773340055
"Jul 17, 2020, 7:42:24 PM",Activity,3776927893
"Jul 17, 2020, 11:24:26 PM",Activity,3776484348
"Jul 17, 2020, 11:24:48 PM",Activity,3777064106
"Jul 18, 2020, 12:01:21 AM",Activity,3777595816
"Jul 19, 2020, 3:30:56 AM",Activity,3782868468
"Jul 19, 2020, 12:29:27 PM",Activity,3785192070
"Jul 19, 2020, 12:45:23 PM",Activity,3785297060
"Jul 20, 2020, 12:37:49 AM",Activity,3788055543
"Jul 20, 2020, 3:32:33 AM",Activity,3788206033
"Jul 20, 2020, 8:13:37 PM",Activity,3790692227
"Jul 21, 2020, 12:50:13 AM",Activity,3792748460
"Jul 21, 2020, 5:11:52 PM",Activity,3793132081
"Jul 21, 2020, 6:45:34 PM",Activity,3796484420
"Jul 21, 2020, 6:45:41 PM",Activity,3796484343
"Jul 21, 2020, 6:45:43 PM",Activity,3796484235
"Jul 21, 2020, 6:45:44 PM",Activity,3796484289
"Jul 21, 2020, 6:45:45 PM",Activity,3796484384
"Jul 21, 2020, 6:45:46 PM",Activity,3796484483
"Jul 21, 2020, 6:45:49 PM",Activity,3796593364
"Jul 22, 2020, 1:44:29 AM",Activity,3798205288
"Jul 22, 2020, 1:44:30 AM",Activity,3798339906
"Jul 22, 2020, 1:44:36 AM",Activity,3797758442
"Jul 22, 2020, 2:37:03 AM",Activity,3798645986
"Jul 23, 2020, 3:25:39 AM",Activity,3803064620
"Jul 23, 2020, 3:25:43 AM",Activity,3802506599
"Jul 23, 2020, 3:25:59 AM",Activity,3803714111
"Jul 25, 2020, 1:15:48 AM",Activity,3809444756
"Jul 25, 2020, 2:59:05 AM",Activity,3809307092
"Jul 27, 2020, 3:15:12 AM",Activity,3817073066
"Jul 27, 2020, 3:15:14 AM",Activity,3816842638
"Jul 27, 2020, 3:15:21 AM",Activity,3816166619
"Jul 27, 2020, 3:15:30 AM",Activity,3815734508
"Jul 27, 2020, 3:15:32 AM",Activity,3814360110
"Jul 27, 2020, 3:15:36 AM",Activity,3812994194
"Jul 27, 2020, 3:15:39 AM",Activity,3812864550
"Jul 27, 2020, 3:15:42 AM",Activity,3812348087
"Jul 27, 2020, 3:15:47 AM",Activity,3811239801
"Jul 27, 2020, 5:53:38 PM",Activity,3821666662
"Jul 27, 2020, 5:54:37 PM",Activity,3821933739
"Jul 29, 2020, 2:14:57 AM",Activity,3830528917
"Jul 30, 2020, 2:28:54 AM",Activity,3835747833
"Jul 30, 2020, 2:28:55 AM",Activity,3835959259
"Jul 30, 2020, 2:45:26 PM",Activity,3836190643
"Aug 1, 2020, 2:39:48 AM",Activity,3845549349
"Aug 1, 2020, 2:39:58 AM",Activity,3845549551
"Aug 2, 2020, 5:19:17 AM",Activity,3849300425
"Aug 2, 2020, 3:06:00 PM",Activity,3852767877
"Aug 2, 2020, 4:59:33 PM",Activity,3854081321
"Aug 3, 2020, 2:52:48 AM",Activity,3808717969
"Aug 3, 2020, 2:52:57 AM",Activity,3855783531
"Aug 4, 2020, 12:42:55 AM",Activity,3860673579
"Aug 4, 2020, 3:22:56 AM",Activity,3858307033
"Aug 5, 2020, 12:33:09 PM",Activity,3865048487
"Aug 6, 2020, 7:45:37 PM",Activity,3874268891
"Aug 6, 2020, 7:45:45 PM",Activity,3873255894
"Aug 6, 2020, 7:45:50 PM",Activity,3872680254
"Aug 7, 2020, 2:32:16 PM",Activity,3878165533
"Aug 8, 2020, 12:32:37 AM",Activity,3880140973
"Aug 8, 2020, 12:32:40 AM",Activity,3879848816
"Aug 8, 2020, 1:21:15 PM",Activity,3882521507
"Aug 8, 2020, 1:21:18 PM",Activity,3882276986
"Aug 9, 2020, 8:01:46 PM",Activity,3888462978
"Aug 9, 2020, 8:01:48 PM",Activity,3889089148
"Aug 9, 2020, 9:51:28 PM",Activity,3889899475
"Aug 10, 2020, 12:34:33 AM",Activity,3890309382
"Aug 10, 2020, 8:04:43 PM",Activity,3893357854
